Start, End, Winner, BTank 1, BTank 2, BDps 1, BDps 2, BSupport 1, BSupport 2, RTank 1, RTank 2, RDps 1, RDps 2, RSupport 1, RSupport 2, BTank 1 Before Ult %, BTank 2 Before Ult %, BDps 1 Before Ult %, BDps 2 Before Ult %, BSupport 1 Before Ult %, BSupport 2 Before Ult %, RTank 1 Before Ult %, RTank 2 Before Ult %, RDps 1 Before Ult %, RDps 2 Before Ult %, RSupport 1 Before Ult %, RSupport 2 Before Ult %, Blue Ults Used, Red Ult Used, BTank 1 After Ult %, BTank 2 After Ult %, BDps 1 After Ult %, BDps 2 After Ult %, BSupport 1 After Ult %, BSupport 2 After Ult %, RTank 1 After Ult %, RTank 2 After Ult %, RDps 1 After Ult %, RDps 2 After Ult %, RSupport 1 After Ult %, RSupport 2 After Ult %, First Ult Team, First Ult Caster, First Kill Team, First Kill Target, Blue Kills, Red Kills,  
0:39:39,0:39:57,red,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, hanzo, pharah, mercy, zenyatta, 45,25,39,28,33,15,25,17,100,29,70,31,,pharah ,53,32,62,39,44,33,49,29,3,33,94,87,red,pharah,red,pharah,1,6
0:40:34,0:40:46,blue,orisa, sigma, mccree, mei, lucio, moira, orisa, sigma, hanzo, pharah, mercy, zenyatta, 100,45,77,56,56,29,61,53,50,43,100,100,moira ,hanzo ,7,69,88,69,66,50,69,67,78,51,100,17,blue,moira,blue,moira,6,0
0:41:15,0:41:30,blue,orisa, sigma, mccree, mei, lucio, moira, orisa, sigma, hanzo, pharah, mercy, zenyatta, 54,1,100,76,87,70,81,85,91,68,100,45,mei ,mercy pharah ,98,100,3,96,100,92,97,100,16,88,using,66,red,mercy,blue,mccree,5,0
0:41:58,0:42:49,red,orisa, sigma, mccree, mei, lucio, moira, orisa, sigma, hanzo, reaper, lucio, moira, 100,100,0,100,100,100,100,15,16,94,5,76,orisa moira mccree sigma ,orisa sigma moira ,93,46,65,9,100,28,16,using,76,16,76,7,blue,orisa,blue,moira,3,7
0:43:15,0:43:42,red,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, hanzo, reaper, lucio, moira, 100,55,73,38,100,4,25,14,85,22,82,14,moira ,reaper ,65,85,100,44,100,55,71,76,8,89,100,40,blue,moira,red,sigma,1,6
0:44:6,0:44:47,blue,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, hanzo, reaper, lucio, moira, 77,93,100,49,100,61,79,95,15,95,100,47,mei orisa ,moira hanzo sigma ,100,38,55,100,100,96,100,34,96,0,100,0,blue,mei,red,hanzo,7,4
0:45:13,0:45:40,red,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, mccree, reaper, lucio, moira, 100,6,62,100,100,100,100,44,100,6,100,7,moira sigma reaper lucio ,orisa lucio reaper ,44,52,100,13,17,4,36,78,9,63,25,94,blue,moira,blue,reaper,2,6
0:46:3,0:47:8,blue,orisa, sigma, mei, reaper, lucio, moira, orisa, sigma, mccree, reaper, lucio, moira, 49,58,100,18,26,9,43,91,14,68,7,100,mei moira orisa sigma ,mccree moira sigma ,59,10,64,using,100,46,17,47,64,16,55,83,blue,mei,red,mccree,11,3
0:49:14,0:49:28,blue,orisa, sigma, hanzo, pharah, mercy, zenyatta, orisa, sigma, bastion, mei, ana, baptiste, 5,3,7,3,5,0,7,4,0,3,5,3,,,25,15,71,6,22,28,0,0,3,6,55,14,Null,Null,blue,pharah,3,0
0:50:7,0:51:6,red,orisa, sigma, hanzo, pharah, mercy, zenyatta, orisa, sigma, doomfist, mccree, lucio, moira, 53,38,100,41,71,99,67,34,21,18,22,33,hanzo pharah mercy ,moira ,92,1,21,83,27,46,36,91,91,54,95,95,blue,hanzo,red,lucio,2,11
0:51:43,0:52:10,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, doomfist, mccree, lucio, moira, 100,13,29,94,6,5,50,100,100,64,100,100,orisa ,orisa mccree doomfist ,26,72,1,100,38,22,100,17,9,100,100,24,red,orisa,red,doomfist,0,6
